Begin Time - ss.msec	End Time - ss.msec	Duration - ss.msec	Transcript	Notes	Translation	Phonemic	Phonetic	Description	
20.76	21.845	1.085	⟦‷bigaika ^áːsé `óroːche‴⟧}¤₴	[óroche̥]; The pitch on áːse is higher than the H on óroche, suggesting prosodic accent. Seems like Kennedy kept the final /a/ of bigaika rather than the initial of áːse, as evidenced by lack of lengthening or perception of falling pitch (though the pitch is falling in the spectrogram).	they reached a river.	bigaika áːsé óroːche	biɣaiká#s#óɾooche̥	
21.847	23.667	1.82	(1.9)					
23.667	24.944	1.277	§{⟦^ɛ́ngʼɔmbe egacháróka⟧‰	ɛ́ngʼombe is given a prosodic accent because it seems to start with a higher pitch than most of Kennedy's PPs. The /o/ has a continuously falling pitch but a high intensity for the phrase.	Cow jumped,	ɛ́ngʼɔmbe egacháróka	ɛ́ŋɔɔmbe eɣacháɾóka̰	
24.944	25.364	0.42	(0.4)					
25.364	26.18	0.816	⟦‷egaika ^mumbu‴⟧}¤₴	mumbu 'other side'; égaika 'he reached'; [mumpʰu̥] - phrase-final devoicing seems to be common. múmbu does show a very very slight increase in pitch and intensity on the first /u/.	reached the other side.	egaika mumbu	eɣaika muumpʰu̥	
26.18	27.833	1.653	(1.7)					
27.833	28.874	1.041	§{⟦ɛ́nda ^egacháróka⟧}‰	The initial /é/ on égacháróka appears to be the result of H spread from the /ɛ́/ on ɛ́nda (since the /a/ in ɛ́nda is elided). The same also appears to be true of the following PP. But, in PP19, égaseka also has an initial /é/ in the same context, but a H spread explanation fails to account for it. This is therefore likely just a word-initial prosodic accent.	Jigger jumped.	ɛ́nda egacháróka	ɛ́nd#eɣacháɾóka̰	
28.874	29.328	0.454	(0.4)					
29.328	30.615	1.287	{⟦‷ɛ́nda ^egachia gocháróka:‴⟧	-chia always (?) occurs as just -chi, even in contexts where elision isn't expected. It literally means 'go to', but is frequently translated as 'try'. The initial /é/ on égachia seems to be a prosodic accent, like bikagɛnda. ~ Despite th fact that Helen seems to have an initial H on infinitives that lack a preprefix, Kennedy does not - this one is definitely low.	When he tried to jump,	ɛ́nda egachia gocháróka	ɛ́nd#eɣachi ɣocháɾóka	
30.615	30.851	0.236	(0.2)					
30.851	31.685	0.834	⟦ekagwa ^óroːche⟧}₴	GM: This should be -kagwa 'drop'. ekagwa 'it fell'. DWH: -kagwa is listed in the dictionary as -kagwe.	he fell in the river.	ekagwa óroːche	ekaɣʷ#úrooche	
31.685	32.694	1.009	(H)+(1.0)					
32.694	34.305	1.611	§{⟦ɛ́nsona ≤^egaseka⟧	Prosodic accent on égaseka rather than an initial H	Flea laughed,	ɛ́nsona egaseka	ɛ́ɛnson#eɣaseka	
34.305	35.984	1.679	⟦^egaseka⟧	Prosodic accent on égaseka rather than an initial H	laughed,	egaseka	e̤ɣa̤seka	
35.984	37.884	1.9	⟦^egaseka≥⟧ (H)	Prosodic accent on égaseka rather than an initial H	laughed,	egaseka	ʔe̤ɣasekˀḁ	
37.884	39.131	1.247	⟦<SWA>mpáka</SWA> ekabaroka ómonwa⟧}¤₴	mpáka < mpaka (Swa.) 'until'; It's possible that the initial /á/ on mpáka is actually prosodic accent. GM: goika 'until'	until his mouth burst.	mpáka ekabaroka ómonwa	m̥pák#ekaβaɾok#ómonwḁ	
39.131	40.014	0.883	(0.9)					
40.014	41.357	1.343	§{⟦‷mogano ɔ́nɛ n'abo óngʼana ígo‴⟧}¤₴	ómogano 'story'; ɔ́nɛ́ 'mine'; nabó 'is like that'; óngʼana 'that's how it reached'; igo 'like that'	That's how my story was.	mogano ɔ́nɛ n'abo óngʼana ígo	móoɣan#ɔ́nɛ#n=aβ#óŋana#íɣo̥	
